"description1","description2","ord","wavelengthStart","wavelengthEnd","molarAbsorption","reference"
"anilide","anilide",20,1980,1990,0.4,"Goddu1960"
"anilide","anilide",20,2010,2030,0.9,"Goddu1960"
"anilide","anilide",20,2040,2060,0.3,"Goddu1960"
"anilide","anilide",20,2890,2910,100,"Goddu1960"
"imide","imide",21,1010,1050,"NA","Goddu1960"
"imide","imide",21,1530,1570,"NA","Goddu1960"
"imide","imide",21,2980,3040,"NA","Goddu1960"
"hydrazine","hydrazine",22,1030,1060,"NA","Goddu1960"
"hydrazine","hydrazine",22,1520,1580,0.5,"Goddu1960"
"hydrazine","hydrazine",22,2010,2040,"NA","Goddu1960"
"hydrazine","hydrazine",22,2950,2990,"NA","Goddu1960"
"hydroxyl---alcohol","alcoholOH",23,1400,1430,2,"Goddu1960"
"hydroxyl---alcohol","alcoholOH",23,2740,2780,50,"Goddu1960"
"hydroxyl---aromatic hydroperoxide","aromaticHydroperoxideOH",24,1440,1480,1,"Goddu1960"
"hydroxyl---aromatic hydroperoxide","aromaticHydroperoxideOH",24,2040,2070,1.3,"Goddu1960"
"hydroxyl---aromatic hydroperoxide","aromaticHydroperoxideOH",24,2800,2850,30,"Goddu1960"
"hydroxyl---aromatic hydroperoxide","aliphaticHydroperoxideOH",25,1420,1470,2,"Goddu1960"
"hydroxyl---aromatic hydroperoxide","aliphaticHydroperoxideOH",25,2040,2060,0.8,"Goddu1960"
"hydroxyl---aromatic hydroperoxide","aliphaticHydroperoxideOH",25,2800,2830,80,"Goddu1960"
"hydroxyl---free phenol","phenolOHfree",26,1400,1440,3,"Goddu1960"
"hydroxyl---free phenol","phenolOHfree",26,2010,2030,"NA","Goddu1960"
"hydroxyl---free phenol","phenolOHfree",26,2760,2800,200,"Goddu1960"
"hydroxyl---intramolecular phenol","phenolOHIntramolecular",27,1420,1490,"NA","Goddu1960"
"hydroxyl---intramolecular phenol","phenolOHIntramolecular",27,2800,2950,"NA","Goddu1960"
"hydroxyl---carboxylic acid","carboxylicAcidOH",28,1440,1480,"NA","Goddu1960"
"hydroxyl---carboxylic acid","carboxylicAcidOH",28,2810,2840,55,"Goddu1960"
"hyrdoxyl---glycol 1 2","glycolOH12",29,1400,1420,"NA","Goddu1960"
"hyrdoxyl---glycol 1 2","glycolOH12",29,2730,2790,50,"Goddu1960"
"hyrdoxyl---glycol 1 3","glycolOH13",30,1400,1420,"NA","Goddu1960"
"hyrdoxyl---glycol 1 3","glycolOH13",30,2740,2760,35,"Goddu1960"
"hyrdoxyl---glycol 1 3","glycolOH13",30,2790,2850,60,"Goddu1960"
"hyrdoxyl---glycol 1 4","glycolOH14",31,1400,1420,"NA","Goddu1960"
"hyrdoxyl---glycol 1 4","glycolOH14",31,2740,2780,65,"Goddu1960"
"hyrdoxyl---glycol 1 4","glycolOH14",31,2860,2920,25,"Goddu1960"
"water","waterOH",32,1390,1420,0.7,"Goddu1960"
"water","waterOH",32,1880,1910,1.2,"Goddu1960"
"water","waterOH",32,2690,2710,30,"Goddu1960"
"water","waterOH",32,2740,2760,7,"Goddu1960"
"oxime","oxime",33,1410,1440,"NA","Goddu1960"
"oxime","oxime",33,2760,2780,200,"Goddu1960"
"hydrate","HCHO",34,2740,2770,"NA","Goddu1960"
"thiol","SH",35,1970,1990,0.05,"Goddu1960"
"phosphine","PH",36,1860,1900,0.2,"Goddu1960"
"carbonyl","C=O",37,1920,1960,"NA","Goddu1960"
"carbonyl","C=O",37,2850,2950,3,"Goddu1960"
"nitrile","CtripleN",38,1880,1920,0.1,"Goddu1960"
